,quote,author,tags
0,If I had a flower for every time I thought of you...I could walk through my garden forever,Alfred Tennyson,Tags: friendship love
1,Some people never go crazy. What truly horrible lives they must lead,Charles Bukowski,Tags: humor
2,"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it",Terry Pratchett,Tags: humor open-mind thinking
3,"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try",Dr. Seuss,Tags: humor philosophy
4,"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though",J.D. Salinger,Tags: authors books literature reading writing
5,The reason I talk to myself is because I’m the only one whose answers I accept,George Carlin,Tags: humor insanity lies lying self-indulgence truth
6,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one",John Lennon,Tags: beatles connection dreamers dreaming dreams hope inspirational peace
7,I am free of all prejudice. I hate everyone equally.,W.C. Fields,Tags: humor sinister
8,The question isn't who is going to let me; it's who is going to stop me,Ayn Rand,
9,′Classic′ - a book which people praise and don't read,Mark Twain,Tags: books classic reading
